Identifier	Character	Dialogue	Filename	Line Number
Beijing_chapter_one_7bee335b		I don't have the strength to persist through violence.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	443
Beijing_chapter_one_70eccf75		Nor do I have time to indulge in my personal family matters.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	444
Beijing_chapter_one_ff3be3f6		I would have asked Uncle Ku why he ever told Professor Po something that was supposed to be so personal to me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	445
Beijing_chapter_one_2da4dfdb		To an extent this did piss me off.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	446
Beijing_chapter_one_0dcfaf8e		Truth is these days things like total war are a biger worry than some petty gossip.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	447
Beijing_chapter_one_d463037e_1	Po	Fang!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	448
Beijing_chapter_one_17ef5589	Po	You dozed off again.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	450
Beijing_chapter_one_67a9e76b	Po	I used to be like that too.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	451
Beijing_chapter_one_6feceb9d	Po	I think you retreat into your thoguths a bit don't you?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	452
Beijing_chapter_one_e42e551b	Po	You need to calm down.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	453
Beijing_chapter_one_e9649bc9	Po	Overthing is bad.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	454
Beijing_chapter_one_a0678f30	Po	This was you can think better and clearly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	455
Beijing_chapter_one_6d3f1e1c	Po	Stay alert a litte bit longer then you go think about whatever you want.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	457
Beijing_chapter_one_01bfacaa	Po	I'm doing my best as well.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	458
Beijing_chapter_one_acab1efc	Po	Let's keep going.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	459
Beijing_chapter_one_07b61d64	Gu	Wait,	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	460
Beijing_chapter_one_be1bc4b9	Po	Ah...A fellow buddhist.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	465
Beijing_chapter_one_37791e4c_1		Professor Po sipped his Máotái lightly before facing me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	466
Beijing_chapter_one_5ca5df6d_1		Bits of his face had manifested a gradient of red.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	467
Beijing_chapter_one_aa8b3b04	Po	Have you ever heard of Dhammapada? the poem of Buddha awakening?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	468
Beijing_chapter_one_03059a99	Po	You being from Hong Kong I wouldn't be suprised at that perspective.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	474
Beijing_chapter_one_6cfe25a3	Po	Do you like listening to hymns?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	475
Beijing_chapter_one_f70df039		Professor Po held his Máotái up to the sunlight where he could see it tinker.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	476
Beijing_chapter_one_2e81d903		I nodded back towards him.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	477
Beijing_chapter_one_99c5ec88	Po	I love latin choir and hymns.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	478
Beijing_chapter_one_e4b4246e	Po	It just moves me to the core.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	479
taoism_breakaway_40409a9c	Gu	Fang	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	482
taoism_breakaway_5394457a	Gu	Did you read the old poems from "Tao Te Ch'ing"?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	483
taoism_breakaway_15492381	Gu	Would you like to hear a poem from Tao Te Ch'ing?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	485
taoism_breakaway_02aaa657	Gu	Tao the water way	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	486
taoism_breakaway_8ba10ff4	fang	Yes I would like to hear it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	489
taoism_breakaway_68d00552		Professor Po was now heavily intoxicated and slumping in his chair as he strained to keep focus.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	490
taoism_breakaway_2427be3c	Gu	I don't think he will ming me reciting a poem of backwards tradition.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	491
taoism_breakaway_ec76b293		Uncle Ku smirked at Po.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	492
taoism_breakaway_19968040	Gu	The best of men is like water;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	493
taoism_breakaway_df0331cb	Gu	Water benefits all things	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	494
taoism_breakaway_0545f838	Gu	And does not compete with them.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	495
taoism_breakaway_39721a32	Gu	It dwells in (the lowly) places that all disdain –	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	496
taoism_breakaway_f0f55c7c	Gu	Wherein it comes near to the Tao.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	497
taoism_breakaway_3e775767	Gu	In his dwelling, (the Sage) loves the (lowly) earth;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	498
taoism_breakaway_934224d0	Gu	In his heart, he loves what is profound;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	499
taoism_breakaway_68d13ef3	Gu	In his relations with others, he loves kindness;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	500
taoism_breakaway_60b6999f	Gu	In his words, he loves sincerity;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	501
taoism_breakaway_65936043	Gu	In government, he loves peace;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	502
taoism_breakaway_76a257f8	Gu	In business affairs, he loves ability;	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	503
taoism_breakaway_c9751fdb	Gu	In his actions, he loves choosing the right time.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	504
taoism_breakaway_e1e27749	Gu	It is because he does not contend	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	505
taoism_breakaway_3bd5048e	Gu	That he is without reproach.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	506
taoism_breakaway_a14ee08e	fang	That's deep.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	508
taoism_breakaway_bde86d7e	Gu	It's life.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	509
taoism_breakaway_f5c06c99	Gu	I noticed that you overthink a lot.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	510
taoism_breakaway_4309068a	Gu	You have to be able to understand yourself if you want to be effecient.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	511
taoism_breakaway_8ef6abf8	Gu	So you have to understand your feelings and learn how to protect yourself from bottling up or lashing out.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	512
taoism_breakaway_7d8f6e70	fang	Thanks for that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	513
taoism_breakaway_517ff47c	Gu	I think everyone needs some calming pep talk.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	514
taoism_breakaway_537dbb19	fang	I couln't agree less.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	515
taoism_breakaway_4cbdf80f		I looked over to Professor Po who didn't have the strength to clutch his cup properly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	516
taoism_breakaway_ad0d774d	fang	I think maybe later.. When this interview is finished.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	520
taoism_breakaway_9fed2262	Po	The boy knows his priorities.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	521
taoism_breakaway_1adfa345		Professor Po was begining to talk more openly and slurredly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	522
taoism_breakaway_8adece60	fang	Let's go to the next question.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	523
taoism_breakaway_dfd4dae5	fang	I already know the poem.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	526
buddhism_breakaway_7356fae3	Po	Well that's great!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	533
buddhism_breakaway_9dfa09c6	Po	There are so many out there.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	534
buddhism_breakaway_d838c6ee		Professor Po was beginning to look like he had too much to drink.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	535
buddhism_breakaway_dca5c439	Po	It is a great poem.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	540
buddhism_breakaway_ff6de641		Professor Po had becoem slightly... intoxicated by this point.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	541
buddhism_breakaway_fe504d99		Despite that it seemed that Professor Po was sober enough to recite Buddhist poetry.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	542
buddhism_breakaway_7c34c78a	Po	Through the round of many births I roamed	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	543
buddhism_breakaway_0bbe0754		Professor Po had in fact placed his Máotái down as he recited this.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	544
buddhism_breakaway_aca211b3	Po	without reward, without rest,	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	545
buddhism_breakaway_7218e54e	Po	seeking the house-builder.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	546
buddhism_breakaway_16cbb3a6	Po	Painful is birth	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	547
buddhism_breakaway_c1af2be9	Po	again & again.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	548
buddhism_breakaway_f596b8af	Po	House-builder, you're seen!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	549
buddhism_breakaway_180072d3	Po	You will not build a house again.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	550
buddhism_breakaway_a4e4fd71	Po	All your rafters broken,	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	551
buddhism_breakaway_f36b94b4	Po	the ridge pole destroyed,	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	552
buddhism_breakaway_999c9925	Po	gone to the Unformed...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	553
buddhism_breakaway_8d58f6ad	Po	the mind has come to the end of craving.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	554
buddhism_breakaway_15f35a52		Professor seemed to become internalized during the recital of this poem.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	557
buddhism_breakaway_f54e22be		In his red intoxicated face, you could see his expression of grattitude and servility.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	558
beijing_interview_after_2e6f64c7		Professor Po seemed to increasingly become unable to stay...sober.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	562
beijing_interview_after_f873d361	Gu	He might need to take some rest.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	563
beijing_interview_after_c66a74f6	Gu	He grew up around the drink.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	564
beijing_interview_after_11928383		Uncle Ku grabbed Professor Po by his arms and mounted him on his back.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	565
beijing_interview_after_3ae3ee89		Professor Po only slurred some words as Uncle Ku dragged him to a guest room.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	566
beijing_interview_after_9208d330		I guess the interview will be conducted later.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	567
beijing_interview_after_6f6cd1fd		I turned my head around to the Taoist Shrine.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	568
beijing_interview_after_e2b27ec8		It consisted of a Yīnyáng emblem, A candle that possessed a mediocre flame, and a copy of Tao Te Ch'ing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	569
beijing_interview_after_2291056b		I stood up from the uncomfortable chair and approached the shrine.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	571
beijing_interview_after_07853f15		It was peaceful to stand before the shrine.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	572
beijing_interview_after_1d1c4241		I wasn't required to announce my presence.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	573
beijing_interview_after_d14a4cec		Part of me was afraid of the new world I had stepped into.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	574
beijing_interview_after_7b2ac531		Will the gods protect me?	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	575
beijing_interview_after_214e2a5c		Thoughts invaded my mind as I looked at the shrine.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	576
beijing_interview_after_8c509af7	correction	But you have to stay focussed.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	578
beijing_interview_after_92f38dfc	correction	Overtinking will not be useful to you this way.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	579
beijing_interview_after_4f7d950f	correction	You should try to calm down and think.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	580
beijing_interview_after_1510d5df		Lúgōuqiáo Shìbiàn had begun only a few days ago.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	583
beijing_interview_after_7409aa5f		Uncle Ku ambled out of the guest room with his hands concealed under his robes.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	588
beijing_interview_after_303279c5		He grimaced slightly at the situation.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	589
beijing_interview_after_7d601d22	Gu	I don't know what will come out of this.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	590
beijing_interview_after_ae1f8bba		He seemed to say that calmly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	591
beijing_interview_after_7da38a44		Something so important... taken so lightly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	592
beijing_interview_after_127b0814	fang	That's fine... I can deal with that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	593
beijing_interview_after_ef2d5b62		Uncle Ku sat down at the shrine and opened Tao Te Ch'ing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	594
beijing_interview_after_cb9ff31f		He was a commited reader and devotee.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	595
beijing_interview_after_e1d3b4ca	Gu	You should go outside and find something to do.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	596
beijing_interview_after_d69c0ab2		I looked back at Uncle Ku.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	597
beijing_interview_after_21d1e615		He could only sigh.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	598
beijing_interview_after_b244df2c		That was all he could do.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	599
beijing_interview_after_097081e8	Gu	Don't worry	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	600
beijing_interview_after_f571e79d	Gu	We can get ut of here in time.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	601
beijing_interview_after_344d8dd3		Uncle Ku would reguarly meet in the village centre and talk to elders and intelectuals about current events.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	602
beijing_interview_after_dffffef9	Gu	Japan is mobilising an army, they won't go further than Peiping-Tientsen, I've heard.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	603
beijing_interview_after_b007fdc5		Uncle Ku felt hopeless.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	604
beijing_interview_after_fd995bd2		Staring into those eyes felt like lies.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	605
beijing_interview_after_6b84dc55	fang	They keep taking from us.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	606
beijing_interview_after_3dd3da8a	Gu	I know...	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	607
beijing_interview_after_1c30bec8		Uncle Ku didn't believe in violence, he didn't feel the need to fight back.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	608
beijing_interview_after_bd6023b6	fang	Now we have a drunk, a looming war and what more!	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	609
beijing_interview_after_562a9287		I had lost my composure.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	612
beijing_interview_after_fb0f748a		I could see Uncle Ku's reaction to me lashing out after such a long time.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	613
beijing_interview_after_3148a438		Pressure that had built up from everything had finally burst the bottle.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	614
beijing_interview_after_ece2e030		Uncle Ku looked at me solenmly.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	615
beijing_interview_after_3b10b877	Gu	I'm sorry, Fang.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	616
beijing_interview_after_6bc65d57	fang	I'm sorry too.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	617
beijing_interview_after_7ced2f82		I turned my back and walked out of the door.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	618
beijing_interview_after_58d0b556	Gu	If there is a air raid just run straight to some air raid shelter.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	619
beijing_interview_after_cfdee768	Gu	If you find a German one, priorotise that.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	620
beijing_interview_after_70ecd2cf	Gu	The German peoples don't get harassed by guizi.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	621
beijing_interview_after_987e54ed		I had crossed the Er-men.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	623
beijing_interview_after_f62f03cc		I kept on walking until I passed through the Da-men.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	625
beijing_interview_after_0e442468		Outside was a little garden where my Great Grandfather had planted a Sakura Tree for Sun Yat Sen's new era of the Republic.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	628
beijing_interview_after_4c143651		It's a real shame I never even learnt his name despite knowing how well known he was in this local place.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	629
beijing_interview_after_1e4a2fc5		My great grandfather disliked the Qing as they were Manchus as opposed to the Ming who were a Han Chinese dynasty.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	630
beijing_interview_after_ef07f827		He had a wealthy wine business which gave him the money to buy a large Siheyuan	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	631
beijing_interview_after_89912be0		The Sakura was planted to mark the growth a new era without the Qing.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	633
beijing_interview_after_83dd0953		The Sakura plant was also foreign and thus showcased his wealth when he had it planted.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/_1937_sino_japanese_war_bookmark.rpy	634
